,0,Cryptocurrency
ADA_Close,0.012861431098067302,ADA_Close
BCH_Close,0.0021842394961541583,BCH_Close
BNB_Close,0.012642652840030811,BNB_Close
BTC_Close,0.004584309487362766,BTC_Close
DOGE_Close,0.027445423170933955,DOGE_Close
EOS_Close,0.001736947855769602,EOS_Close
ETC_Close,0.003829368189602401,ETC_Close
ETH_Close,0.00579156562189718,ETH_Close
FIL_Close,0.01216438217418945,FIL_Close
LINK_Close,0.007934772257529846,LINK_Close
LTC_Close,0.003443364062240198,LTC_Close
MKR_Close,0.005507644697527984,MKR_Close
THETA_Close,0.02190819895022736,THETA_Close
TRX_Close,0.00364087703013698,TRX_Close
VET_Close,0.009426680475275812,VET_Close
XLM_Close,0.004255663293755244,XLM_Close
XMR_Close,0.002450210450171918,XMR_Close
XRP_Close,0.0025535714500462474,XRP_Close
