,Cumulative Return,Cryptocurrency
ADA,27.10681031838269,ADA
BCH,468.98430276853753,BCH
BNB,7.620713840743886,BNB
BTC,1.2746572913553267,BTC
DOGE,1.3512107101456974,DOGE
EOS,0.8502574715233124,EOS
ETC,1.454305266240045,ETC
ETH,11.495662637510243,ETH
FIL,0.9823100216701687,FIL
LNK,1.908929920538301,LNK
LTC,13.358783806393859,LTC
MKR,0.010532552329869611,MKR
THETA,28.215169802795526,THETA
TRX,0.23122078609143634,TRX
VET,2.2984885225527103,VET
XLM,21.43865138841334,XLM
XMR,20.39575797978791,XMR
XRP,7.581046129914578,XRP
18,1.3197899716889838,18
